ID,common_name,scientific_name,common_names_Brasil,growth_form,trunk_characteristics,branching_pattern,bark_characteristics,leaf_characterisitics,flower_characteristics,fruit_characteristics,seed_characteristics,sexual_system,reproductive_system,pollination_vector,flowering_period,fruiting_period,seed_dispersal_syndrome,latitude_range,altitudinal_range,geographic_distribution,successional_group,ecological_associations,phytoecological_regions,population_density,mean_annual_precipitation_mm,precipitation_regime,water_deficit,mean_annual_temperature_c,mean_coldest_month_temperature_c,mean_warmest_month_temperature_c,absolute_minimum_temperature_c,koppen_climate_types,soil_requirements,seed_sowing_requirements,germination_characteristics,special_management_requirements,symbiotic_associations,vegetative_propagation,silvicultural_characteristics,planting_spacing,regeneration_methods,agroforestry_systems,genetic_improvement_and_conservation,growth_and_yield,timber_products,bioenergy_potential,chemical_constituents,plant_exudates,green_manure_potential,tannin_content,carbohydrate_content,pulp_and_paper_potential,gum_production,forage_potential,cork_production,dye_production,human_food_use,fiber_and_mucilage_production,fragrance_production,soap_production,oil_production,kapok_production,wicker_production,resin_production,saponin_content,animal_feed_use,insecticidal_potential,insulating_material_potential,wax_production,cosmetic_applications,hormonal_compounds,protein_content,fiber_production,coumarin_content,condiment_use,latex_production,ropemaking_potential,biodiesel_production,industrial_applications,craft_production,beekeeping_potential,medicinal_use,landscaping_use,environmental_restoration_use,pests_and_diseases
1,Açoita-Cavalo, Luehea divaricata,"açoita;
açoita-cavalo-do-miúdo, açoita-cavalos-branco,
ibitinga, ivantingui e vatinga, no Estado de São
Paulo; açoita-cavalo-vermelho, no Rio Grande do
Sul; açoita-cavalos, em Santa Catarina e no
Estado de São Paulo; açoite-cavalo, no Paraná,
nos Estados do Rio de Janeiro e de São Paulo;
biatingui; caoveti; envireira-do-campo; estribeiro; estriveira, na Bahia e no Estado de São Paulo;
guaxima-do-campo; ibatingui; ivatingui, em Minas
Gerais; ivitinga, na Bahia; ivitingui; luitingui;
mutamba; pau-de-canga, em Santa Catarina;
salta-cavalo, no Paraná e no Estado de São
Paulo; soita; soita-cavalo, no Paraná; e ubatinga.","árvore caducifólia, com 3,5 a
15 m de altura e 20 a 50 cm de DAP, podendo
atingir até 30 m de altura e 100 cm de DAP, na
idade adulta.","tortuoso, nodoso, com reentrâncias, base
alargada com sapopemas. Fuste geralmente curto;
no interior da floresta, forma fustes quase retos,
com até 10 m de comprimento.","irregular, simpódica. Copa larga
e densa, com folhagem característica.","com espessura de até 25 mm. A casca
externa é pardo-acinzentada-escura, áspera,
levemente fissurada, com escamas retangulares
e pequenas. A casca interna é avermelhada,
fibrosa, e com estrias esbranquiçadas.","simples, alternas, dísticas, com estípulas,
irregularmente serreadas, com três nervuras
longitudinais típicas, discolores, ásperas na face
ventral e tomentosas na face dorsal, com lâmina
foliar de 4,5 a 15 cm de comprimento e 2 a
6,5 cm de largura; pecíolo ferruginoso, com até
1 cm de comprimento.","com vistosas pétalas róseas, roxas ou
raramente brancas, chegando a medir 2,5 cm de
comprimento, em inflorescências terminais e
axilares, em cimeiras dicotômicas, divergentes
multifloras.","cápsula lobada de valvas lenhosas,
oblonga, pentalocular, de coloração castanha,
com densa pilosidade ferrugínea cobrindo
inteiramente o tegumento e o pedicelo do fruto,
com 2 a 3 cm de comprimento, abrindo-se em
cinco fendas. Apresenta deiscência loculicida
(Barroso et al., 1999) na sua extremidade,
apresentando 5 a 15 sementes por fruto.","pequenas, providas de alas agudas,
de coloração dourado-brilhante, com núcleo
seminal pequeno na extremidade da asa, e
coloração marrom-clara.",planta hermafrodita.,,"principalmente as abelhas,
destacando-se Apis mellifera (abelha-européia ou
abelha-africanizada) (Morellato, 1991; Pirani &
Cortopassi-Laureano, 1993), e esporadicamente os
beija-flores (Kuhlmann & Kuhn, 1947).","de dezembro a abril, no Paraná; de
dezembro a julho, em Minas Gerais; de janeiro a
março, no Rio Grande do Sul, e de março a julho,
no Estado de São Paulo.
","os frutos amadurecem de abril a outubro, no Estado de São Paulo; de maio a
julho, no Paraná e no Rio Grande do Sul e, de junho a outubro, em Minas Gerais. O processo reprodutivo inicia precocemente, por volta dos
2 anos de idade, em plantios.","anemocórica, pelo vento.","9º 15’ S em Alagoas a 31º30' S
no Rio Grande do Sul.","de 30 m, no Rio Grande
do Sul até 1.400 m de altitude, em Minas Gerais.","No Brasil, essa espécie ocorre nos seguintes Estados (Mapa 5):
Alagoas (Auto, 1998),  Bahia (Mello, 1968/1969; Cunha, 1985). Espírito Santo (Ruschi, 1950; Lopes et al., 2000).  Goiás (Cunha, 1985). Mato Grosso (Marimon et al., 1998). Mato Grosso do Sul (Leite et al., 1986; Souza et al., 1997). Minas Gerais (Thibau et al., 1975; Magalhães & Ferreira, 1981; Hahrie et al., 1986; Campos & Landgraf, 1990; Brandão & Magalhães, 1991; Brandão & Araújo, 1992; Brandão & Gavilanes, 1992; Carvalho et al., 1992; Gavilanes et al., 1992; Brandão & Laca-Buendia, 1993; Brandão & Silva Filho, 1993; Brandão et al., 1993; Gavilanes &
Brandão, 1994; Gavilanes et al., 1995; Carvalho et al., 1996; Bernardo, 1997; Brina, 1998; Carvalho et al., 2000; Moreno & Schiavini, 2000). Paraná (Paraná, 1968; Hatschbach & Moreira Filho, 1972; Dombrowski & Scherer Neto, 1979; Carvalho, 1980; Longhi, 1980; Leite et al., 1986; Roderjan & Kuniyoshi, 1988, 1989; Cervi et al., 1990; Roderjan, 1990a;
Silva & Marconi, 1990; Silva et al., 1992; Soares-Silva et al., 1992; Silva et al., 1995; Nakajima et al., 1996; Souza et al., 1997; Soares-Silva et al., 1998; Ziller, 2000).  Estado do Rio de Janeiro (Cunha, 1985; Euler et al., 1998; Guimarães et al., 1988).  Rio Grande do Sul (Lindeman et al., 1975;
Girardi & Porto, 1976; Knob, 1978; Mattos, 1980; Santa Maria, 1981; Aguiar et al., 1982; Jacques et al., 1982; Reitz et al., 1983;
Pedralli, 1984; Brack et al., 1985; Bueno et al., 1987; Brena et al., 1988; Schneider et al., 1988; Amaral, 1990; Tabarelli, 1992; Tabarelli et al., 1992; Thum, 1992; Balbueno & Alencastro, 1996; Longhi, 1997; Rodrigues
et al., 1999; Vaccaro et al., 1999; Costa et al., 2000; Quatrini et al., 2000).
 Santa Catarina (Reitz et al., 1978; Cunha, 1985; Croce, 1991).
Estado de São Paulo (Kuhlmann & Kuhn, 1947; Camargo & Marinis, 1966; Nogueira, 1976; Baitello & Aguiar, 1982; Kageyama, 1986; Pagano et al., 1987; Matthes et al., 1988; Pagano et al., 1989a e b; Durigan &
Dias, 1990; Grombone et al., 1990; Nicolini, 1990; Toledo Filho et al., 1993; Durigan & Leitão Filho, 1995; Durigan et al., 1997; Toledo Filho et al., 1997; Cavalcanti, 1998; Durigan et al., 1999; Stranghetti et al., 1999).
Distrito Federal (Filgueiras & Pereira, 1990; Pereira et al., 1990; Silva et al., 1990; Walter & Sampaio, 1998). A ocorrência dessa espécie no sudeste do Piauí, a 8º S de latitude, citada por Emperaire (1984),
e em Bom Jardim, a 3º 50’ e em Santa Quitéria, a 3º 30’ no Maranhão (Tomazello et al., 1982; Imaña-Encinas et al., 1995) não é confirmada
por Cunha (1985). Possivelmente, a espécie mencionada no Piauí e
no Maranhão seria Luehea paniculata, muito confundida com Luehea divaricata. ","espécie secundária inicial
(Vaccaro et al., 1999) a secundária tardia
(Durigan & Nogueira, 1990; Vilela et al., 1993;
Ferretti et al., 1995).","espécie comum na vegetação secundária, principalmente em
capoeiras e invadindo as pastagens. As árvores são longevas.","Luehea divaricata é
encontrada naturalmente, principalmente,
na Floresta Ombrófila Densa (Floresta Atlântica), na formação Baixo-Montana (Guimarães et al., 1988); na Floresta Ombrófila Mista (Floresta com Araucária), nas formações Aluvial (galeria) e Montana, sendo uma das principais espécies do estrato emergente na Região Sul (Silva & Marconi, 1990).
Na Floresta Estacional Semidecidual, nas
formações Aluvial (galeria), Montana e
Submontana (Klein, 1985; Carvalho et al., 1996);
e na Floresta Estacional Decidual, nas formações
Aluvial (galeria) e Baixo-Montana e Montana
(Tabarelli, 1992; Vaccaro et al., 1999).  Eventualmente ocorre no Cerradão (Rizzini, 1971; Brandão & Gavilanes, 1992), no domínio
da Caatinga, em Minas Gerais (Brandão &
Gavilanes, 1994) e nos encraves vegetacionais,
na Região Nordeste (Fernandes, 1992).","No Brasil, Silva et al. (1990) encontraram
14 árvores por hectare, numa mata de galeria,
no Distrito Federal. Em Perdizes, MG, em área da Floresta Estacional Semidecidual, Werneck et al. (2000) assinalaram 14 indivíduos por hectare, e em área da Floresta Estacional Decidual, no noroeste do Rio Grande do Sul, foram encontrados três indivíduos por hectare (Vasconcelos et al., 1992).",desde 700 mm na Bahia a 2.200 mm em Santa Catarina.,"chuvas uniformemente distribuídas, na Região Sul
(excetuando-se o norte do Paraná), e periódicas,
com chuvas concentradas no verão, nas demais
regiões.","nula na Região Sul,
de moderada a forte, com estação seca de
2 a 5 meses, na Região Central de Minas Gerais
e no Planalto de Conquista, na Bahia.",,"9,4ºC (São Joaquim, SC) a 20,7ºC (Senhor do Bonfim,
BA).


","17,2ºC (São Joaquim, SC) a 26,6ºC (Brasília, DF).",,,"Luehea divaricata vegeta indiferentemente em
terrenos secos ou úmidos, rasos e pedregosos, com
drenagem regular e textura que varia de franca a
argilosa.",,"epígea, com início entre 8 a 74 dias
 após a semeadura. O poder germinativo é variável
 e irregular, entre 20% e 85%.
 As mudas atingem porte adequado para plantio
 em cerca de 6 meses após a semeadura. Contudo, mudas com mais de 50 cm de altura, em sacos
 de polietileno, apresentam pegamento baixo,
 no campo.",,,,,,"o plantio puro, a pleno sol, deve ser evitado, pois causa
esgalhamento precoce. Recomenda-se plantio misto, associado com espécies pioneiras ou em vegetação matricial, em faixas abertas na capoeira e plantada em linhas
ou em grupos. Regenera-se através de brotações
vigorosas do toco.",,,"O açoita-cavalo apresenta crescimento lento, que varia em função do sítio e tratos culturais. A produtividade volumétrica máxima registrada é
5,00 m3.ha-1.ano-1, aos 10 anos. Contudo, deve-se ressaltar as altas taxas de sobrevivência obtidas
nos plantios experimentais, variando de 72% a 100%.",,,,não ,,,,,não ,,,,,,,,,não ,,,,"a forragem dessa espécie
apresenta 12% de proteína bruta e 12,7% de tanino
(Leme et al., 1994), sendo imprópria como
forrageira.",,,,,,,,,não ,não ,,,não ,,,,,,"Principalmente, com danos leves:
• Besouros da família Scolytidae (Macedo,
1985).
• Serradores cerambicídeos: Oncideres saga saga,
Oncideres dejeani e Oncideres ulcerosa
(Link et al., 1984)."
2,Alecrim ,Holocalyx balansae,"alecrim-das-matas e
pau-de-rego, no Estado de São Paulo;
alecrim-de-campinas, em Minas Gerais,
nos Estados do Rio de Janeiro e de São Paulo;
alecrim-do-campo; alecrim-do-mato;
alecrim-tóxico, na Bahia; pau-alecrim, no Espírito
Santo, no Rio Grande do Sul e no Estado de São
Paulo.","árvore perenifólia, com 5 a
10 m de altura e 20 a 50 cm de DAP, podendo
atingir até 25 m de altura e 100 cm de DAP,
na idade adulta.","raramente cilíndrico, tortuoso, irregular,
com caneluras. Fuste curto com até 9 m de
comprimento.","dicotômica e irregular. Copa larga,
com até 10 m de diâmetro, geralmente
arredondada e compacta.","com espessura de até 5 mm. A casca
externa é cinza-escura, lisa quando jovem,
tornando-se fissurada e com placas em exemplares
muito velhos. A casca interna é esbranquiçada e
fibrosa.","compostas, alternas, paripinadas, de cor
verde-escura, com até 16 cm de comprimento e com 15 a 35 pares de folíolos opostos, pequenos,
verde-escuros.","de cor amarela a esbranquiçada-bege
ou esbranquiçada-esverdeada, pequenas e
perfumadas, agrupadas em racemos curtos e
compostos, axilares, medindo 2 a 3 cm
de comprimento.","drupa amarelada carnosa, globosa,
indeiscente, com 14 a 22 mm de comprimento e
12 a 19 mm de diâmetro, geralmente com uma
semente, às vezes duas ou raramente três. O fruto
fresco pesa em torno 2,5 g (Eibl et al., 1994).","globosa, acastanhada, de 19 mm de
comprimento e 12 a 18 mm de diâmetro.",planta hermafrodita.,,"principalmente abelhas
e diversos insetos pequenos.","de maio a outubro, no Estado de São
Paulo; em setembro, no Paraná; de setembro a
outubro, no Rio Grande do Sul; de setembro a
dezembro, no Estado do Rio de Janeiro,
e em outubro, em Minas Gerais.","os frutos amadurecem de setembro
a janeiro, no Estado de São Paulo; de novembro a
janeiro, em Minas Gerais; de janeiro a junho, no
Estado do Rio de Janeiro; de março a abril, no
Rio Grande do Sul e, de abril a maio, no Paraná. O processo reprodutivo inicia por volta dos
15 anos de idade, em plantios.","zoocórica, por
morcegos, entre outros, e ornitocórica,
principalmente o periquito-maitaca (Pionus sp.).","19º 30’ S em Minas Gerais a 28º S
no Rio Grande do Sul.","de 160 m, no Paraná a
1.000 m de altitude em Minas Gerais.","No Brasil, essa espécie ocorre nos seguintes
Estados (Mapa 6): Espírito Santo (Ruschi, 1950).
Mato Grosso do Sul (Leite et al., 1986; Assis,
1991). Minas Gerais (Vieira, 1990; Carvalho et al.,
1996; Brina, 1998). Paraná (Paraná, 1968; Dombrowski & Scherer
Neto, 1979; Instituto, 1987; Roderjan &
Kuniyoshi, 1989; Roderjan, 1990a; Roderjan,
1990b; Silva, 1990; Oliveira, 1991;
Soares-Silva et al., 1992; Silva et al., 1995;
Nakajima et al., 1996). Estado do Rio de Janeiro. Rio Grande do Sul (Mattos, 1983; Brack et al., 1985).  Santa Catarina (Reitz et al., 1978).
Estado de São Paulo (Kuhlmann & Kuhn, 1947; Mainieri, 1970; Nogueira, 1976; Baitello & Aguiar, 1982; Bertoni et al., 1982; Cavassan
et al., 1984; Kageyama, 1986; Demattê et al., 1987; Pagano et al., 1987; Matthes et al., 1988; Vieira et al., 1989; Grombone et al.,
2000; Nicolini, 1990; Maltez et al., 1992;
Ortega & Engel, 1992; Toledo Filho et al.,
1993; Kotchetkoff-Henriques & Joly, 1994;
Costa & Mantovani, 1995; Durigan & Leitão
Filho, 1995; Primavesi et al., 1997; Toledo
Filho et al., 1997; Nóbrega et al., 2000; Toledo
Filho et al., 2000).","espécie clímax (Ferretti
et al., 1995).","o alecrim é
espécie característica do interior da floresta
primária, não sendo comum na vegetação
secundária. É árvore longeva.","Holocalyx balansae é
encontrada naturalmente na Floresta Estacional
Semidecidual (Klein,1985), na formação
Submontana (Carvalho et al., 1996), onde ocupa
o estrato dominante (Roderjan, 1990); na Floresta
Estacional Decidual (Rambo, 1980), ocupando o
estrato intermediário, e nas matas de galeria na
Região Centro-Oeste (Silva Júnior et al., 1998).","numa área inventariada da Floresta
Estacional Semidecidual, o alecrim representou
6,14% da distribuição das essências de maior
valor econômico, no Parque Nacional do Iguaçu,
no Brasil (Paraná, 1968) e valores entre
2 a 6 exemplares por hectare, na Selva Misionera,
em Misiones, Argentina (Martinez-Crovetto, 1963).
Em levantamentos fitossociológicos realizados no
Estado de São Paulo, na Floresta Estacional
Semidecidual, foram encontradas entre
2 a 9 árvores por hectare (Vieira et al., 1989,
Toledo Filho et al., 2000).
Em área da Floresta Estacional Decidual,
no noroeste do Rio Grande do Sul, foram
encontradas 11 árvores por hectare (Vasconcelos
et al, 1992).","desde
1.000 mm no Estado de São Paulo a 2.300 mm em Santa Catarina.","chuvas uniformemente
distribuídas na Região Sul (excluindo-se o norte do Paraná), e periódicas, com chuvas concentradas
no verão, nas demais regiões.","moderada, com estação
seca até 3 meses no oeste do Estado de São Paulo
e no sul de Mato Grosso do Sul.","18,3ºC (Telêmaco
Borba, PR) a 22,3ºC (Jaú, SP).","13,5ºC
(Telêmaco Borba, PR) a 18,7ºC (Jaú, SP).","22,3ºC (Viçosa, MG) a 25,1ºC (Jaú, SP).","5,0ºC
(Telêmaco Borba, PR).","temperado úmido
(Cfb); subtropical úmido (Cfa); subtropical de
altitude (Cwa e Cwb) e tropical (Aw).","Holocalyx balansae ocorre naturalmente em solos
férteis e profundos, e em solos rasos e rochosos.
Prefere solos úmidos, mas drenados, não
tolerando locais encharcados. Deve ser plantado
em solos de fertilidade química média a boa, com
textura de franca a argilosa."," recomenda-se semear em
 sementeiras, para posterior repicagem, ou semear outras duas sementes em sacos de polietileno de
 dimensões mínimas de 20 cm de altura e 7 cm de
 diâmetro, ou em tubetes de polipropileno grande."," hipógea, com início entre
 30 e 120 dias após a semeadura. O poder
 germinativo varia de 50% a 90%. As mudas
 atingem porte adequado para plantio com cerca
 de 9 meses após a semeadura.",,"as raízes do alecrim não
 associam-se com Rhizobium (Faria et al., 1984;
 Oliveira, 1999).
 Características Silviculturais
 O alecrim é uma espécie esciófila (Ortega, 1995),
 necessitando de sombreamento de intensidade
 média na fase juvenil. Essa espécie é tolerante a
 baixas temperaturas.
 Hábito: irregular; sem dominância apical, com
 acamamento do caule e tronco curto.
 Não apresenta desrama natural. Necessita de
 podas periódicas de condução e dos galhos.
 Métodos de regeneração: o plantio puro do
 alecrim, a pleno sol, deve ser evitado, em função
 de sua exigência lumínica.
 Plantado em Dois Vizinhos, PR (Tabela 6),
 a espécie apresentou melhor desempenho sob
 plantio misto do que em plantio puro.
 O alecrim pode ser plantado em plantio misto,
 com espécies pioneiras para favorecer a forma,
 ou em vegetação matricial arbórea, em faixas
 abertas,  na vegetação secundária e plantado em
 linhas. Não brota da touça, após corte.",,"O alecrim é uma espécie esciófila (Ortega, 1995),
necessitando de sombreamento de intensidade
média na fase juvenil. Essa espécie é tolerante a
baixas temperaturas.
Hábito: irregular; sem dominância apical, com
acamamento do caule e tronco curto.
Não apresenta desrama natural. Necessita de
podas periódicas de condução e dos galhos.
",,"o plantio puro do
alecrim, a pleno sol, deve ser evitado, em função
de sua exigência lumínica.
Plantado em Dois Vizinhos, PR,
a espécie apresentou melhor desempenho sob
plantio misto do que em plantio puro.","o alecrim não deve ser
utilizado como árvore de sombra para o gado, por
ser espécie tóxica (Baggio & Carpanezzi, 1988).
A ingestão de folhas na proporção de 6 g/kg de
animal, apresentou quantidade de cianeto letal
para bovinos (Rocha e Silva, 1940).",,"O crescimento do alecrim é lento.
O incremento médio máximo registrado é de
1,20 m3.ha-1.ano-1, aos 10 anos.","a madeira do alecrim
pode ser usada em marcenaria de luxo, tacos de
bilhar, bengalas, construção pesada, tabuado,
vigamento, caibros, dormentes, eixos, esquadrias,
estacas, forro, móveis, mourões, postes, ripas,
cabos para ferramentas e peças torneadas.","produz lenha e carvão de boa qualidade,
queimando até verde; lignina e cinzas de 24,35%
(Wasjutin, 1958).",não ,não ,não ,não ,não ,"espécie inadequada para este
uso. Comprimento das fibras de 0,74 mm
(Wasjutin, 1958).",não ,não ,não ,não ,não ,não ,não ,não ,não ,não ,não ,não ,não ,não ,não ,não ,não ,não ,não ,não ,não ,não ,não ,não ,não ,não ,não ," os índios da tribo Xavante, em Mato
 Grosso e os índios da tribo Guarani, no Paraguai,
 fazem tacapes e pontas de flechas do cerne do
 alecrim (Soares, 1990).",,"as sementes do alecrim são tidas
como tóxicas. As folhas, talos foliáceos
e sementes encerram glucósidos cianogênicos, que
podem ser tóxicos ou medicamentosos, de acordo
com a sua dose.
Usa-se em forma de banhos para combater
o reumatismo. O chá serve para tosse e afecções
das vias respiratórias. Afina o sangue e pode
baixar a pressão arterial (Franco, 1997).","é espécie largamente utilizada na
arborização de parques, praças e ruas (Toledo
Filho et al., 1988; Lorenzi, 1992). A copa
é compacta e mantém-se sempre verde,
assumindo formato arredondado, mais
desenvolvida quando isolada.
O diâmetro médio da copa atinge 6 m (Cesp,
1988). O alecrim é usado em arborização urbana,
a exemplo de Botucatu, SP (Sousa et al., 1990) e
de Campinas, SP.","o fruto, cuja polpa madura é
suculenta, adocicada e um tanto ácida, serve de
alimento para vários animais silvestres, como
veado-campeiro (Ozotocerus bezoarticus), anta
(Tapirus terrestris) e o periquito-maitaca (Pionus
sp.) que também são seus principais dispersores.
O alecrim é também recomendado para
restauração de mata ciliar em locais sem
inundação (Salvador, 1987; Salvador & Oliveira,
1989; Durigan & Nogueira, 1990), e para plantio
em margem de represa com piscicultura (1973).","Principalmente ácaros (Vila & Flechtmann, 1970)."
